artifact,upstream_source,copyright_holder,license,redistribution_allowed,derived_output_allowed,reviewer_access_route,required_citation
data/raw/s2.csv,mixed: Yearbook Vol. VI WTEMP/WLEVEL/FLOW; WMO/CMA matching GSOD TEMP/WDSP/PRCP; CMA V3.0 RHMEAN/DH,mixed (yearbook + WMO/CMA + CMA); no embedded station names units timezone or QA flags,mixed_most_restrictive,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; public_github_hosting_is_a_remaining_defect_not_open_data,same citations as Yearbook + contested GSOD match + CMA V3.0; Figshare does not license this file
data/raw/p3.csv,mixed: Yearbook Vol. VI WTEMP/WLEVEL/FLOW; WMO/CMA matching GSOD TEMP/WDSP/PRCP; CMA V3.0 RHMEAN/DH,mixed (yearbook + WMO/CMA + CMA); no embedded station names units timezone or QA flags,mixed_most_restrictive,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; public_github_hosting_is_a_remaining_defect_not_open_data,same citations as Yearbook + contested GSOD match + CMA V3.0; Figshare does not license this file
data/processed/daily_long.parquet,derived from data/raw/*.csv mixed columns,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; inherits_raw_column_restrictions,same as data/raw mixed files
data/processed/daily_wide.parquet,derived from data/raw/*.csv mixed columns,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; inherits_raw_column_restrictions,same as data/raw mixed files
data/processed/splits/train.parquet,derived from data/raw/*.csv mixed columns,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; inherits_raw_column_restrictions,same as data/raw mixed files
data/processed/splits/validation.parquet,derived from data/raw/*.csv mixed columns,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; inherits_raw_column_restrictions,same as data/raw mixed files
data/processed/splits/test.parquet,derived from data/raw/*.csv mixed columns,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; inherits_raw_column_restrictions,same as data/raw mixed files
data/processed/event_labels.parquet,derived labels from restricted hydrological series,inherits yearbook holders for event timing/values,mixed_inherited,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request,same as Yearbook Vol. VI
data/processed/scaler.json,train-only means and scales of mixed T/F/L/meteorology columns,inherits mixed upstream holders,mixed_inherited,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; scaler_moments_are_derived_products,same as data/raw mixed files
data_versions/published_v1,byte-preserving published-reference copy of the prepared published table (no quality exclusions or adjustments),inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; byte_preserving_is_not_a_license,same as data/raw mixed files
data_versions/no_s2_suspect_v1,published_v1 with S2 T/F/L analysis values excluded 2013-2019; remaining values unchanged,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; exclusion_is_not_a_rights_upgrade,same as data/raw mixed files
data_versions/b1_no_level_v1,published_v1 with B1 L excluded; remaining values unchanged,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; exclusion_is_not_a_rights_upgrade,same as data/raw mixed files
data_versions/b1_shift_sensitivity_v1,hypothetical -8.48 m adjustment to B1 L from 2019-01-01; not a factual correction,inherits mixed upstream holders,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; hypothetical_shift_is_not_a_rights_upgrade,same as data/raw mixed files
data_versions/external_lower_chattahoochee_v1,planned USGS + NASA POWER confirmatory bundle,USGS and NASA (when acquired),not_opened,not_opened,not_opened,not_opened; public_apis_after_roster; does_not_sanitize_jinsha_inputs,USGS Water Data; NASA POWER (cite after acquisition)
masks/test/masks.npz,standalone compact 3-D boolean bitmasks (date x station x variable) generated from quality_approved eligibility on the restricted prepared table,shutiao23 (mask construction); calendar/eligibility derived from restricted Jinsha series,compact_bitmask_no_hydrology_values,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; bool_bitmasks_without_observation_values_but_reconstruct_hidden_dates,this repository; masks do not embed T/F/L/meteorology values
masks/test/manifest.json,mask-library axes and scenario records including the full restricted-series date axis and hidden-gap start/end dates,shutiao23 (manifest); dates are the restricted Jinsha calendar,compact_bitmask_manifest_hidden_dates,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; reconstructs_hidden_dates_of_restricted_series,this repository; no hydrology values; date index is restricted
masks/test/manifest.csv,tabular scenario metadata with start_dates/end_dates of hidden gaps on the restricted calendar,shutiao23 (manifest); dates are the restricted Jinsha calendar,compact_bitmask_manifest_hidden_dates,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; reconstructs_hidden_dates_of_restricted_series,this repository; no hydrology values; date index is restricted
masks/validation/masks.npz,standalone compact 3-D boolean bitmasks (date x station x variable) generated from quality_approved eligibility on the restricted prepared table,shutiao23 (mask construction); calendar/eligibility derived from restricted Jinsha series,compact_bitmask_no_hydrology_values,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; bool_bitmasks_without_observation_values_but_reconstruct_hidden_dates,this repository; masks do not embed T/F/L/meteorology values
masks/validation/manifest.json,mask-library axes and scenario records including the full restricted-series date axis and hidden-gap start/end dates,shutiao23 (manifest); dates are the restricted Jinsha calendar,compact_bitmask_manifest_hidden_dates,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; reconstructs_hidden_dates_of_restricted_series,this repository; no hydrology values; date index is restricted
masks/validation/manifest.csv,tabular scenario metadata with start_dates/end_dates of hidden gaps on the restricted calendar,shutiao23 (manifest); dates are the restricted Jinsha calendar,compact_bitmask_manifest_hidden_dates,restricted,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; reconstructs_hidden_dates_of_restricted_series,this repository; no hydrology values; date index is restricted
metadata/data_dictionary.csv,project-authored variable dictionary,shutiao23 (project metadata),MIT,true,true,public_github_project_metadata,cite upstream sources named in the dictionary; dictionary is not a data license
metadata/station_metadata.csv,project-authored station inventory from published coordinates and literature,shutiao23 (compilation); station facts from cited literature,MIT,true,true,public_github_project_metadata,source_documentation/README.md literature DOIs
metadata/source_documentation/README.md,project-authored provenance notes,shutiao23 (project documentation),MIT,true,true,public_github_project_metadata,references listed in that README
metadata/quality_codebook.csv,project-authored quality-status vocabulary (no observation values),shutiao23 (project metadata),MIT,true,true,public_github_project_metadata,this repository
metadata/candidate_stations.csv,project-authored literature compilation of candidate stations (no daily values),shutiao23 (compilation); facts from cited literature,MIT,true,true,public_github_project_metadata,source_documentation/README.md literature DOIs
metadata/validation_anchors.csv,design anchors derived from the restricted internal calendar,inherits study-data restrictions for hydrologic_state dates,mixed_inherited,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request,this repository; inherits published_v1 restrictions
metadata/frontier_anchors.csv,design anchors derived from the restricted internal calendar,inherits study-data restrictions for hydrologic_state dates,mixed_inherited,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request,this repository; inherits published_v1 restrictions
metadata/event_episode_catalog.csv,event/control catalog including event_peak_value and other statistics from restricted F/T/L,inherits yearbook holders for embedded observation values,mixed_inherited,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; embeds_yearbook_derived_values,Yearbook Vol. VI; Wei et al. 2026; Wang et al. 2024
metadata/event_episode_catalog.audit.json,audit of the event catalog,inherits event-catalog restrictions,mixed_inherited,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request,same as event_episode_catalog.csv
metadata/data_rights.csv,this rights matrix,shutiao23 (project metadata),MIT,true,true,public_github_project_metadata,this file; not a grant over observation columns
